skill_id,tier,size_kb,lines,rules,table_rows,guardrail_refs,n_sources
communication.ai-content-generation,communication,3.18,78,8,0,3,2
communication.multimodal-inclusion,communication,4.16,93,16,0,1,2
core.inclusive-language-core,core,5.43,111,6,13,1,3
gender.address-and-titles,gender,3.55,87,5,11,1,4
gender.formal-legal-texts,gender,4.59,102,9,0,1,3
gender.gender-inclusive-rewriting,gender,5.7,120,8,8,3,5
gender.pronoun-strategy,gender,4.58,100,8,7,5,5
gender.stereotype-detection,gender,5.81,130,4,8,2,4
identity-domains.age-language,identity-domains,2.14,64,5,4,2,2
identity-domains.class-language,identity-domains,2.49,66,5,7,3,2
identity-domains.disability-language,identity-domains,3.52,85,7,16,3,2
identity-domains.ethnicity-language,identity-domains,4.5,93,6,25,4,2
identity-domains.lgbtqia-language,identity-domains,4.53,97,8,18,4,3
identity-domains.religion-language,identity-domains,3.13,77,7,8,2,1
workflows.document-audit,workflows,4.57,123,4,1,4,3
